"PRODUCT_NAME","DEPARTMENT","CATEGORY","SKU","SELLER","BRAND","PRICE_CURRENT","PRICE_RETAIL","REVIEW_COUNT","REVIEW_RATING","RunDate"
"Garnier SkinActive Super Hydrating Sheet Mask, Soothing, 1.08 fl oz","Skin Care","Face Masks","116724293","Walmart.com","Garnier",2.49,2.49,340,4.0,"2022-03-20 03:01:11"
"40 Pcs 24K Gold Crystal Collagen Eye Mask Dark Circle Eye Bags Patches","Skin Care","Face Masks","579906914","Shanghailiangkunshiyeyouxiangongsi","Pilaten",13.99,13.99,20,4.4,"2022-03-20 03:01:11"
"Biore Charcoal Instant Warming Wash-Off Clay Mask, 0.25 fl oz 4 ct","Skin Care","Face Masks","34480568","RSB Sales Group","Bior",9.99,9.99,4749,4.3,"2022-03-20 03:01:11"
"AsaVea Purifying Black Peel off Charcoal Mask for All Skin Type, 2.7 fl oz","Skin Care","Face Masks","290996028","EMStore","AsaVea",11.99,14.69,9,4.2,"2022-03-20 03:01:11"
"Burts Bees Hydrating Overnight Mask, 2.5 fl oz","Skin Care","Face Masks","589903971","Walmart.com","Burt's Bees",12.72,21.34,43,4.7,"2022-03-20 03:01:11"
"SheaMoisture African Black Soap Clarifying Mud Mask, 4 oz","Skin Care","Face Masks","50104001","Walmart.com","SheaMoisture",11.97,11.97,72,3.8,"2022-03-20 03:01:11"
"SheaMoisture Clarifying Mud Mask African Black Soap, 6 oz","Skin Care","Face Masks","195268900","Walmart.com","SheaMoisture",14.97,14.97,2107,4.4,"2022-03-20 03:01:11"
"Under Eye Mask Rose Gold Eye Mask Anti-Aging Hyaluronic Acid 24k Gold Eye Patches Under Eye Pads for Moisturizing & Reducing Dark Circles Puffiness Wrinkles","Skin Care","Face Masks","387308765","S Pride Group","SWISSOKOLAB",13.97,13.97,0,0.0,"2022-03-20 03:01:11"
"Food Grade Sodium Bentonite Clay - Powder - 1 Pound","Skin Care","Face Masks","640336086","Belle Chemical LLC","Belle Chemical",9.99,9.99,3,4.7,"2022-03-20 03:01:11"
"Freeman Feeling Beautiful Charcoal And Black Sugar Mud Mask, Normal And Combo, 6 oz","Skin Care","Face Masks","198473006","Soymedical.com","Freeman Feeling Beautyful",9.58,9.58,1047,4.3,"2022-03-20 03:01:11"
"Rospital - Pediatric with Tubing and Jar - Pack of 2 Mask (P/N ROSC02)","Skin Care","Face Masks","839745372","BM Global Supply Corporation","Rospital",9.99,9.99,1,5.0,"2022-03-20 03:01:11"
"AZURE Hemp & Rose Nourishing Under Eye Mask Patches - Moisturizing, Toning, Rejuvenating | Reduces Fine Lines, Wrinkles, Under Eye Bags & Dry Skin - 5 Pairs","Skin Care","Face Masks","577209146","Azure Skincare","Azure Skincare",7.97,7.97,1,5.0,"2022-03-20 03:01:11"
"Freeman Facial Mask Sweet Tea & Lemon Peel Away 6 oz.","Skin Care","Face Masks","155932901","Vitabox","Freeman",7.96,7.96,3,2.3,"2022-03-20 03:01:11"
"Freeman Feeling Beautiful Rejuvenating Clay Mask, Cucumber + Pink Salt 6 oz","Skin Care","Face Masks","806203129","Pharmapacks","Freeman",7.49,7.49,1212,4.3,"2022-03-20 03:01:11"
"Burts Bees Detoxifying Clay Mask, 2.5 oz","Skin Care","Face Masks","147736057","Walmart.com","Burt's Bees",12.74,21.34,32,4.6,"2022-03-20 03:01:11"
"Burt's Bees Detoxifying Charcoal Sheet Mask Single Use Sheet, 1 ct","Skin Care","Face Masks","245267627","Walmart.com","Burt's Bees",3.07,3.07,67,4.0,"2022-03-20 03:01:11"
"Facial Skin Care Mask - Oseque True Noble Soil Layering Mask (29ml10pcs) - Korean Beauty Face Mask","Skin Care","Face Masks","463453596","Stacy Lash Store","OSEQUE",19.99,19.99,3,5.0,"2022-03-20 03:01:11"
"Advanced Clinicals Activated Charcoal Peel-Off Face Mask. Facial Mask for Large Pores, Oily Skin, and Dead Skin. 3.4 fl oz.","Skin Care","Face Masks","986391460","Pure Valley","ADVANCED CLINICALS",12.99,12.99,19,4.1,"2022-03-20 03:01:11"
"Freeman Feeling Beautiful Facial Peel-Off Mask Cucumber 0.50 oz","Skin Care","Face Masks","138575669","Pharmapacks","Freeman",4.88,4.88,794,4.2,"2022-03-20 03:01:11"
"24K Gold Collagen Facial Face Mask Moisture Anti Aging Remove Wrinkle Skin Care","Skin Care","Face Masks","358334361","WANGO","Unbrand",12.69,12.69,6,4.5,"2022-03-20 03:01:11"
"COSRX Ultimate Nourishing Rice Overnight Spa Face Mask, 2.02 Oz","Skin Care","Face Masks","882243426","BeautyPOP","Cosrx",15.98,15.98,20,4.8,"2022-03-20 03:01:11"
"MULTANI MITTI CLAY ORGANIC FACE MASK FULLERS EARTH DETOX SKIN TREATMENT 1 OZ","Skin Care","Face Masks","439710608","H&B OILS CENTER Co.","H&B Oils Center",4.49,4.49,0,0.0,"2022-03-20 03:01:11"
"AZURE 24K Gold Metallic Firming Peel Off Face Mask - Exfoliates Blackheads, Dirt & Oils | Firms & Moisturizes | Reduces Wrinkles, Fine Lines & Acne Scar | -150mL","Skin Care","Face Masks","866401684","Azure Skincare","Azure Skincare",9.97,9.97,7,3.6,"2022-03-20 03:01:11"
"Hot and Cold Therapy Gel Bead Full Facial Mask by FOMI Care | Ice Face Mask for Migraine Headache, Stress Relief | Reduces Eye Puffiness, Dark Circles | Fabric Back | Freezable, Microwaveable","Skin Care","Face Masks","197836122","FOMI","Fomi",15.95,15.95,11,3.6,"2022-03-20 03:01:11"
"Yes To Cucumber Soothing Cooling Jelly Mask, 3 fl oz","Skin Care","Face Masks","532157572","Walmart.com","Yes To",12.98,12.98,2,4.0,"2022-03-20 03:01:11"
"Aveeno Positively Radiant MaxGlow Peel Off Exfoliating Face Mask, 2 oz","Skin Care","Face Masks","364941992","Pharmapacks","Aveeno",10.78,10.78,274,4.0,"2022-03-20 03:01:11"
"Freeman Feeling Beautiful Peel-Away Clay Mask, Sweet Tea & Lemon 6 oz","Skin Care","Face Masks","48320114","Pharmapacks","Freeman",6.14,6.14,25,4.5,"2022-03-20 03:01:11"
"Sky Organics Detoxifying 100% Pure Bentonite Clay, 16 Oz","Skin Care","Face Masks","938931275","Walmart.com","Sky Organics",9.78,9.78,31,4.5,"2022-03-20 03:01:11"
"Image Skincare Ageless Total Resurfacing Face Mask 2 oz","Skin Care","Face Masks","757971013","WellnessCenter","Image Skin Care",26.00,26.00,1,5.0,"2022-03-20 03:01:11"
"Olay Face Mask Stick, Shine Control with Tea Tree Extract, 1.7 oz","Skin Care","Face Masks","960564475","Cheapos","Olay",8.49,8.49,122,4.6,"2022-03-20 03:01:11"
"Yes To Tomatoes Detoxifying Charcoal Peel-Off Mask, 2 fl oz","Skin Care","Face Masks","100134482","Cheapos","Yes To",9.48,9.48,15,2.7,"2022-03-20 03:01:11"
"Now Moroccan Red Clay Powder 6 oz(s)","Skin Care","Face Masks","186057202","The Vitamin Shoppe","NOW",4.95,5.99,15,4.6,"2022-03-20 03:01:11"
"TekDeals Retinol Eye Mask Sheet Collagen Patches Skin Care Anti Aging Remove Dark Circle Bag","Skin Care","Face Masks","728305196","Dazzle Games LLC","TekDeals",8.99,8.99,0,0.0,"2022-03-20 03:01:11"
"Olay Brightening Overnight Gel Face Mask with Vitamin C, 1.7 fl oz","Skin Care","Face Masks","969042790","Avenue A Stores LLC","Olay",24.54,24.54,149,4.6,"2022-03-20 03:01:11"
"Freeman Pore Clearing Volcanic Ash Peel Off Gel Facial Mask, Deep Cleansing, Removes Dirt From Pores, Doesnt Over Dry, Perfect For All Skin Types, For Men, 6 fl.oz./175 mL Tube","Skin Care","Face Masks","386641237","OTCRx4U","Freeman",8.98,8.98,28,3.3,"2022-03-20 03:01:11"
"Ultru I'm Sorry for My Skin Jelly Sheet Mask, Brightening","Skin Care","Face Masks","879786064","Walmart.com","Ultru",4.00,4.00,2,3.0,"2022-03-20 03:01:11"
"Neutrogena Pink Grapefruit 100% Hydrogel Face Mask Acne Prone Skin Naturally Grapefruit Extract, Single-Use Ref (Pack of 6)","Skin Care","Face Masks","174108488","Pharmapacks","",12.87,15.14,173,4.4,"2022-03-20 03:01:11"
"Image Skincare Vital C Hydrating Overnight Face Mask","Skin Care","Face Masks","250141599","LuxMarket","Image Skin Care",34.94,59.00,2,3.0,"2022-03-20 03:01:11"
"Olay Pore Detox Face Mask Clay Stick with Black Charcoal, 1.7 oz","Skin Care","Face Masks","901774106","The Online Drugstore","Olay",13.44,13.44,742,4.2,"2022-03-20 03:01:11"
"Ebanel 15-Pack Collagen Face Mask, Instant Brightening Hydrating Face Sheet Mask","Skin Care","Face Masks","421621177","Ebanel Laboratories, Inc.","",16.99,16.99,6,4.3,"2022-03-20 03:01:11"
"Yes To Tomatoes 2-Step Nose Kit","Skin Care","Face Masks","891081820","RSB Sales Group","Yes To",9.99,9.99,11,4.4,"2022-03-20 03:01:11"
"Queen Helene Mud Pack Masque, 8 Oz","Skin Care","Face Masks","26960073","Miss Pretty","Queen Helene",5.87,5.87,8,4.1,"2022-03-20 03:01:11"
"SheaMoisture African Black Soap Clarifying Mud Mask, 4 oz","Skin Care","Face Masks","50104001","Walmart.com","SheaMoisture",11.97,11.97,72,3.8,"2022-03-20 03:01:11"
"SheaMoisture Clarifying Mud Mask African Black Soap, 6 oz","Skin Care","Face Masks","195268900","Walmart.com","SheaMoisture",14.97,14.97,2107,4.4,"2022-03-20 03:01:11"
"Pilaten Blackhead Remover,tearing Style Deep Cleansing Purifying Peel Off the Black Head,acne Treatment,black Mud Face Mask 60g","Skin Care","Face Masks","906502622","LAVA GARDEN INC","Pilaten",6.99,6.99,10,3.4,"2022-03-20 03:01:11"
"SHILLS Purifying Black Peel-off Mask,Facial Cleansing, Blackhead Remover Deep Cleanser, Acne Face Mask (Single)","Skin Care","Face Masks","333157852","Meroo llc","SHILLS",8.40,8.40,57,2.9,"2022-03-20 03:01:11"
"Aveeno Oat Soothing Face Mask, Pumpkin Seed and Feverfew, 1.7 oz","Skin Care","Face Masks","697477665","Walmart.com","Aveeno",7.35,8.56,345,4.6,"2022-03-20 03:01:11"
"IMAGE Skincare The Max Stem Cell Anti-aging Squalane Facial Mask, 2 fl oz","Skin Care","Face Masks","176979747","LuxMarket","Image Skin Care",21.99,28.23,2,5.0,"2022-03-20 03:01:11"
"Food Grade Sodium Bentonite Clay (1 Pound)","Skin Care","Face Masks","576240017","Belle Chemical LLC","Belle Chemical",10.99,10.99,7,2.9,"2022-03-20 03:01:11"
"Burt's Bees Hydrating Overnight Mask - 0.57 ounce","Skin Care","Face Masks","347930856","RADICAI LOGISTICS","Burt's Bees",5.95,5.95,89,4.5,"2022-03-20 03:01:11"
"Wella Fusion Plex Intense Repair Hair Mask, 16.9oz","Skin Care","Face Masks","295393645","Beauty Pear INC","Wella",27.69,27.69,5,5.0,"2022-03-20 03:01:11"
"Yes To Watermelon Refreshing Facial Jelly Mask, 3 fl oz","Skin Care","Face Masks","818286496","Closeouts For Less","Yes To",5.95,5.95,1,5.0,"2022-03-20 03:01:11"
"Facial Skin Care Mask - Oseque True Noble Soil Layering Mask (29ml10pcs) - Korean Beauty Face Mask","Skin Care","Face Masks","463453596","Stacy Lash Store","OSEQUE",19.99,19.99,3,5.0,"2022-03-20 03:01:11"
"Hot and Cold Therapy Gel Bead Full Facial Mask by FOMI Care | Ice Face Mask for Migraine Headache, Stress Relief | Reduces Eye Puffiness, Dark Circles | Fabric Back | Freezable, Microwaveable","Skin Care","Face Masks","197836122","FOMI","Fomi",15.95,15.95,11,3.6,"2022-03-20 03:01:11"
"Celavi Essence Facial Mask Paper Sheet Korea Skin Care Moisturizing 12 Pack (Mix - 2 of Each)","Skin Care","Face Masks","209850003","No.1 Beauty & Cosmetic, Inc.","Celavi Beauty & Cosmetics",12.99,12.99,5,4.6,"2022-03-20 03:01:11"
